Trace,IPC,Instructions,Accuracy(%),MPKI,Mispredictions
600.perlbench_s-1273B,2.289,10000000,98.7,1.748,17480
602.gcc_s-1850B,0.2738,10000001,96.36,9.323,93230
603.bwaves_s-2931B,0.8942,10000000,99.97,0.0028,28
605.mcf_s-1536B,0.237,10000003,99.98,0.0309,309
607.cactuBSSN_s-2421B,1.677,10000003,91.37,0.7854,7854
619.lbm_s-2676B,0.452,10000004,97.13,0.5014,5014
620.omnetpp_s-141B,0.2343,10000002,90.89,19.13,191300
621.wrf_s-575B,1.214,10000003,94.86,6.891,68910
623.xalancbmk_s-165B,0.5,10000000,96.51,9.719,97190
625.x264_s-12B,2.52,10000000,96.43,0.8956,8956
627.cam4_s-490B,0.938,10000000,89.88,9.609,96090
628.pop2_s-17B,1.254,10000004,97.13,3.282,32820
631.deepsjeng_s-928B,0.9399,10000000,85.64,21.52,215200
638.imagick_s-10316B,3.343,10000003,99.69,0.3171,3171
641.leela_s-149B,0.8845,10000001,85.6,23.75,237500
644.nab_s-12459B,1.784,10000000,95.03,7.147,71470
648.exchange2_s-387B,1.4,10000001,88.38,16.62,166200
649.fotonik3d_s-1176B,0.4081,10000000,99.97,0.0044,44
654.roms_s-293B,1.015,10000000,99.68,0.0485,485
657.xz_s-4994B,1.416,10000000,86.05,14.71,147100
