Trace,IPC,L2_Accesses,L2_Misses,L2_MissRate(%)
600.perlbench_s-1273B,2.038,995,769,77.29
602.gcc_s-1850B,0.2394,123475,91103,73.78
603.bwaves_s-2931B,0.873,117324,74682,63.65
605.mcf_s-1536B,0.239,572490,333545,58.26
607.cactuBSSN_s-2421B,1.698,532175,29999,5.64
619.lbm_s-2676B,0.4507,714447,244007,34.15
620.omnetpp_s-141B,0.2326,206608,116124,56.20
621.wrf_s-575B,1.167,51,51,100.00
623.xalancbmk_s-165B,0.4728,95426,95355,99.93
625.x264_s-12B,2.113,5095,5094,99.98
627.cam4_s-490B,0.8285,126662,65211,51.48
628.pop2_s-17B,1.21,150221,45840,30.52
631.deepsjeng_s-928B,1.045,13737,4074,29.66
638.imagick_s-10316B,3.347,44588,204,0.46
641.leela_s-149B,1.011,30058,949,3.16
644.nab_s-12459B,1.368,33222,4043,12.17
648.exchange2_s-387B,1.152,ERR,ERR,ERR
649.fotonik3d_s-1176B,0.4578,110903,48291,43.54
654.roms_s-293B,1.027,96119,57661,59.99
657.xz_s-4994B,1.421,1682,662,39.36
